Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip	1.589715	0.012757	0.000052	0.196258
specbzip1	1.724184	0.021384	0.000078	0.271750
specbzip2	1.635832	0.012758	0.000052	0.336791
specbzip3	1.594113	0.012757	0.000052	0.207055
specbzip4	1.589715	0.012757	0.000052	0.196258
specbzip5	1.556339	0.009755	0.000052	0.231374
spechmmer	1.185033	0.001630	0.000079	0.080711
spechmmer1	1.185033	0.001630	0.000079	0.080711
spechmmer2	1.179751	0.000880	0.000057	0.080804
spechmmer3	1.179751	0.000880	0.000057	0.080804
speclibm	2.650259	0.062151	0.000097	0.973317
speclibm_1	2.631263	0.060971	0.000084	0.999981
speclibm_2	2.631263	0.060971	0.000084	0.999981
speclibm_3	1.991390	0.030487	0.000084	0.999956
speclibm_4	1.991078	0.030487	0.000084	0.999956
specmvf	1.176616	0.006983	0.000042	0.214748
specmvf1	1.143930	0.002108	0.000018	0.836720
specmvf2	1.118699	0.001384	0.000013	0.692395
specmvf3	1.112977	0.001384	0.000013	0.532636
specsjeng	7.041210	0.121831	0.000019	0.999979
specsjeng1	7.041210	0.121831	0.000019	0.999979
specsjeng2	4.976535	0.060922	0.000013	0.999850
specsjeng3	4.974881	0.060922	0.000013	0.999850
